frame.time_delta,frame.time_relative,frame.len,ip.src,ip.dst,ip.proto,ip.ttl,tcp.srcport,tcp.dstport,tcp.flags,tcp.time_delta,tcp.len,tcp.ack,tcp.ack_raw,tcp.seq_raw,tcp.flags.fin,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.urg,tcp.hdr_len,tcp.window_size_value,tcp.checksum,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.val,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgtype,mqtt.qos,mqtt.retain,mqtt.topic,mqtt.topic_len,mqtt.ver,class,label
0.000014000,153.748754000,90,192.168.60.20,192.168.210.102,6,64,1883,39107,0x0018,0.000014000,24,243404,754432932,1438365195,0,1,1,0,0,0,32,4987,0x900a,0,0,0,0,0,0,0,0,0,0,0,0x50,0,2,0,0,0,0,0,0,0,Attack,1
0.000073000,153.748827000,90,192.168.210.102,192.168.60.20,6,64,39107,1883,0x0018,0.000073000,24,96029,1438365219,754432932,0,1,1,0,0,0,32,3442,0x900a,0,0,0,0,0,0,0,0,0,0,0,0x62,0,2,0,0,0,0,0,0,0,Attack,1
0.000014000,153.748841000,90,192.168.60.20,192.168.210.102,6,64,1883,39107,0x0018,0.000014000,24,243428,754432956,1438365219,0,1,1,0,0,0,32,4987,0x900a,0,0,0,0,0,0,0,0,0,0,0,0x50,0,2,0,0,0,0,0,0,0,Attack,1
0.000073000,153.748914000,90,192.168.210.102,192.168.60.20,6,64,39107,1883,0x0018,0.000073000,24,96053,1438365243,754432956,0,1,1,0,0,0,32,3442,0x900a,0,0,0,0,0,0,0,0,0,0,0,0x62,0,2,0,0,0,0,0,0,0,Attack,1
0.000015000,153.748929000,90,192.168.60.20,192.168.210.102,6,64,1883,39107,0x0018,0.000015000,24,243452,754432980,1438365243,0,1,1,0,0,0,32,4987,0x900a,0,0,0,0,0,0,0,0,0,0,0,0x50,0,2,0,0,0,0,0,0,0,Attack,1
0.000073000,153.749002000,90,192.168.210.102,192.168.60.20,6,64,39107,1883,0x0018,0.000073000,24,96077,1438365267,754432980,0,1,1,0,0,0,32,3442,0x900a,0,0,0,0,0,0,0,0,0,0,0,0x62,0,2,0,0,0,0,0,0,0,Attack,1
0.000015000,153.749017000,90,192.168.60.20,192.168.210.102,6,64,1883,39107,0x0018,0.000015000,24,243476,754433004,1438365267,0,1,1,0,0,0,32,4987,0x900a,0,0,0,0,0,0,0,0,0,0,0,0x50,0,2,0,0,0,0,0,0,0,Attack,1
0.000073000,153.749090000,90,192.168.210.102,192.168.60.20,6,64,39107,1883,0x0018,0.000073000,24,96101,1438365291,754433004,0,1,1,0,0,0,32,3442,0x900a,0,0,0,0,0,0,0,0,0,0,0,0x62,0,2,0,0,0,0,0,0,0,Attack,1
0.000014000,153.749104000,90,192.168.60.20,192.168.210.102,6,64,1883,39107,0x0018,0.000014000,24,243500,754433028,1438365291,0,1,1,0,0,0,32,4987,0x900a,0,0,0,0,0,0,0,0,0,0,0,0x50,0,2,0,0,0,0,0,0,0,Attack,1
0.000074000,153.749178000,90,192.168.210.102,192.168.60.20,6,64,39107,1883,0x0018,0.000074000,24,96125,1438365315,754433028,0,1,1,0,0,0,32,3442,0x900a,0,0,0,0,0,0,0,0,0,0,0,0x62,0,2,0,0,0,0,0,0,0,Attack,1
0.000014000,153.749192000,90,192.168.60.20,192.168.210.102,6,64,1883,39107,0x0018,0.000014000,24,243524,754433052,1438365315,0,1,1,0,0,0,32,4987,0x900a,0,0,0,0,0,0,0,0,0,0,0,0x50,0,2,0,0,0,0,0,0,0,Attack,1
0.000073000,153.749265000,90,192.168.210.102,192.168.60.20,6,64,39107,1883,0x0018,0.000073000,24,96149,1438365339,754433052,0,1,1,0,0,0,32,3442,0x900a,0,0,0,0,0,0,0,0,0,0,0,0x62,0,2,0,0,0,0,0,0,0,Attack,1
0.000001000,153.749266000,90,192.168.60.20,192.168.210.102,6,64,1883,39107,0x0018,0.000001000,24,243548,754433076,1438365339,0,1,1,0,0,0,32,4987,0x900a,0,0,0,0,0,0,0,0,0,0,0,0x50,0,2,0,0,0,0,0,0,0,Attack,1
